Hint,theta_u,Sparsity,Size,Topography,Classification
3.9293,0.34163000000000004,0.0,1.0,0.0,NS
4.3763,0.34046,0.0,1.0,0.0,NS
4.8009,0.40268000000000004,0.0,0.7084,0.6913199999999999,S
4.39,0.34192,0.0,1.0,0.0,NS
3.7685,0.30974,0.0,1.0,0.0,NS
2.572,0.44319,1.0,0.0,0.0,D
4.7509,0.41871,1.0,0.0,0.0,D
2.6163,0.34155,0.0,1.0,0.0,NS
4.7863,0.3168,0.0,1.0,0.0,NS
4.4694,0.39760999999999996,0.04,0.58958,0.72182,S
4.1337,0.33801,0.0,1.0,0.0,NS
2.8016,0.30094,0.0,1.0,0.0,NS
4.9029,0.43486,1.0,0.0,0.0,D
4.75,0.44893,1.0,0.0,0.0,D
4.7246,0.40542,0.48,0.53615,0.88176,S
2.7017,0.44097,1.0,0.0,0.0,D
4.324,0.40991000000000005,0.52,0.46917,0.8799,S
4.8176,0.44532,1.0,0.0,0.0,D
4.1011,0.31048000000000003,0.0,1.0,0.0,NS
4.4603,0.35641,0.0,1.0,0.0,NS
4.1384,0.34278000000000003,0.0,1.0,0.0,NS
4.7265,0.40699,0.04,0.5425,0.8694,S
4.269,0.36921,0.0,1.0,0.0,NS
2.4148,0.34752,0.96,0.44,0.9976,S
4.6002,0.44388999999999995,1.0,0.0,0.0,D
2.3726,0.30769,0.0,1.0,0.0,NS
4.4996,0.33326,0.0,1.0,0.0,NS
2.3866,0.44299999999999995,1.0,0.0,0.0,D
3.3024,0.38804,1.0,0.0,0.0,D
3.7607,0.34536,0.0,1.0,0.0,NS
2.8289999999999997,0.36938000000000004,0.9,0.47600000000000003,0.97314,S
3.2626,0.43049,1.0,0.0,0.0,D
2.7708,0.33144,0.0,1.0,0.0,NS
4.1548,0.38334,0.0,0.9740000000000001,0.18484,NS
4.5259,0.31079,0.0,1.0,0.0,NS
3.6051,0.32832,0.0,1.0,0.0,NS
2.6449,0.39823000000000003,1.0,0.0,0.0,D
3.5548,0.35578000000000004,0.0,1.0,0.0,NS
2.0531,0.40696,1.0,0.0,0.0,D
2.5209,0.44881000000000004,1.0,0.0,0.0,D
2.42,0.44101,1.0,0.0,0.0,D
3.3191,0.42995,1.0,0.0,0.0,D
3.5024,0.35202,0.0,1.0,0.0,NS
4.5215,0.40374,0.0,0.5352,0.37947,S
3.7373,0.36586,0.0,1.0,0.0,NS
4.7187,0.42972,1.0,0.0,0.0,D
3.8605,0.34191,0.0,1.0,0.0,NS
4.6097,0.39455999999999997,0.0,0.7136,0.40181999999999995,S
3.1615,0.44936000000000004,1.0,0.0,0.0,D
3.5794,0.33066999999999996,0.0,1.0,0.0,NS
3.0118,0.40812,1.0,0.0,0.0,D
3.7643,0.30867,0.0,1.0,0.0,NS
4.3763,0.37546,0.0,1.0,0.0,NS
3.0399,0.38165,1.0,0.0,0.0,D
3.1838,0.39663000000000004,1.0,0.0,0.0,D
4.2955,0.42711000000000005,1.0,0.0,0.0,D
2.1452,0.40160999999999997,1.0,0.0,0.0,D
3.6192,0.31588,0.0,1.0,0.0,NS
2.3074,0.40763,1.0,0.0,0.0,D
4.4938,0.33023,0.0,1.0,0.0,NS
3.5988,0.35311,0.0,1.0,0.0,NS
2.1766,0.40026,1.0,0.0,0.0,D
3.2138,0.44051,1.0,0.0,0.0,D
4.1687,0.37200000000000005,0.0,1.0,0.0,NS
4.5914,0.36871,0.0,1.0,0.0,NS
4.6398,0.30245,0.0,1.0,0.0,NS
3.5686,0.34726,0.0,1.0,0.0,NS
4.2351,0.4008,0.12,0.53,0.88315,S
3.2493,0.41184,1.0,0.0,0.0,D
3.6651,0.40725,1.0,0.0,0.0,D
4.3953,0.41826,0.76,0.42667,0.95444,S
2.5941,0.40046,1.0,0.0,0.0,D
3.2437,0.44769,1.0,0.0,0.0,D
2.0943,0.35084,1.0,0.0,0.0,D
3.0861,0.31936,0.0,1.0,0.0,NS
4.4351,0.44223999999999997,1.0,0.0,0.0,D
3.7929,0.43461000000000005,1.0,0.0,0.0,D
4.3835,0.44631000000000004,1.0,0.0,0.0,D
4.6112,0.3445,0.0,1.0,0.0,NS
3.0296,0.32153000000000004,0.0,1.0,0.0,NS
3.4035,0.30053,0.0,1.0,0.0,NS
4.5412,0.38356999999999997,0.0,1.0,0.0,NS
3.1254,0.42203999999999997,1.0,0.0,0.0,D
2.9730000000000003,0.36284,1.0,0.0,0.0,D
2.1106,0.41828000000000004,1.0,0.0,0.0,D
3.5081,0.31519,0.0,1.0,0.0,NS
2.0043,0.42761000000000005,1.0,0.0,0.0,D
2.6614,0.30881,0.0,1.0,0.0,NS
2.8174,0.44433999999999996,1.0,0.0,0.0,D
3.9918,0.3511,0.0,1.0,0.0,NS
4.9733,0.35165,0.0,1.0,0.0,NS
3.0575,0.38013,1.0,0.0,0.0,D
2.2706,0.36057,1.0,0.0,0.0,D
4.7031,0.42489,0.94,0.42,0.98561,S
3.5722,0.30423,0.0,1.0,0.0,NS
4.531000000000001,0.44165,1.0,0.0,0.0,D
4.2121,0.31335999999999997,0.0,1.0,0.0,NS
3.4019,0.33655,0.0,1.0,0.0,NS
4.9807,0.37892,0.0,1.0,0.0,NS
3.3565,0.34391,0.0,1.0,0.0,NS
3.0552,0.41883000000000004,1.0,0.0,0.0,D
4.6969,0.40531,0.04,0.54875,0.96873,S
3.5676,0.34287,0.0,1.0,0.0,NS
2.195,0.32576,0.04,1.0,0.078337,NS
4.8418,0.37548000000000004,0.0,1.0,0.0,NS
4.8397,0.38345,0.0,1.0,0.0,NS
3.9771,0.34255,0.0,1.0,0.0,NS
2.5273,0.3212,0.0,1.0,0.0,NS
3.5994,0.39645,1.0,0.0,0.0,D
3.4155,0.44603999999999994,1.0,0.0,0.0,D
3.1573,0.42012,1.0,0.0,0.0,D
3.7088,0.38018,0.0,0.6804,0.87271,S
4.5323,0.44831000000000004,1.0,0.0,0.0,D
